"artist_id";"artist_name";"artist_picture"
"1";"Subtronics";"subtronics.png"
"2";"Krowdexx";"krowdexx.png"
"3";"Rooler";"rooler.png"
"4";"Sickmode";"sickmode.png"
"5";"Mish";"mish.png"
"6";"RiotShift";"riotshift.png"
"7";"DEHA INC.";"deha_inc.png"
"8";"Skazi";"skazi.png"
"9";"Notype";"notype.png"
"10";"TOZA";"toza.jpg"
"11";"the floor";""
"12";"OK OK";""
"13";"Şehinşah";""
"14";"Fred again..";"artists/qV4EkCy1BFspD1TZHL6tvgPnzGf8VLS35n9sB04I.jpg"
"15";"Mc Livid";""
"16";"Paul Elstak";""
"17";"SWIRF";""
"18";"13Killoki";"artists/dsrNTtufCb8i4rvP0FPG6oS1N54Nqj2RzZnofLGA.jpg"
"19";"Tape B";""
"20";"Timmy Trumpet";""
"21";"GPF";""
"22";"Dikke Baap";""
"23";"Kenai";""
"24";"Warface";""
"25";"MC Shocker";""
"26";"Levenkhan";""
"27";"Dr Donk";""
"28";"The Straikerz";""
"29";"Bloodlust";""
"30";"Carola";""
"31";"DJ Isaac";""
"32";"Rebelion";""
"33";"Micah Martin";""
"34";"Vertile";""
"35";"Villain";""
"36";"Dual Damage";""
"37";"Anderex";""
"38";"Imperatorz";""
"39";"Facilita";""
"40";"Excision";""
"41";"Amidy";""
